inputdata_term,dwc_class,dwc_term,translation_function,translation
Journalnr.,,occurrenceID,generate_UUID,
Fangststed|Dato|Redskap|(mm),,eventID,generate_UUID,
Fangststed|Dato|Redskap|(mm),,fieldNumber,paste_values,prefix=gillnet_survey_Staavatn_2009
Fangststed|Dato|Redskap|(mm)|Journalnr.,,recordNumber,paste_values,prefix=gillnet_survey_Staavatn_2010
,,recordedBy,fill_column_using,"Åge Brabrandt"
,,datasetID,fill_column_using,gillnet_survey_Staavatn_2009
,,datasetName,fill_column_using,"Gillnet survey in Staavatn 2009 using benthic gillnets"
,,rightsHolder,fill_column_using,"Åge Brabrant"
,,institutionCode,fill_column_using,NHM
,,accessRights,fill_column_using,open
,,informationWithheld,fill_column_using,"mof_occurrence | organismQuantity | organismQuantityValue | sex | lifeStage|reproductiveCondition"
År,,,,
Dato,,dateEnd,xl_date_translate,
Fangststed,,locationID,translate,STÅVATN=510755|LUREVATN=666|LIGGVATN=333
Redskap|(mm),,samplingProtocol,translate,translation_table.csv
Art,,speciesID,translate,ØRRET=2400
cm,,totalLength_mm,numeric_operation,*10
g,,organismQuantity,paste_values,
,,organismQuantityType,fill_column_using,"Total mass in grams"
K-faktor,,,,
Kjønn,,sex,translate,HANN=male|HUNN=female
Stadium,,reproductiveCondition,conditional_numeric_translation,"ifelse(input_data_column_value>4,'reproductive',ifelse(input_data_column_value<73,'non-reproductive','reproductive'))"
Stadium,,lifeStage,conditional_numeric_translation,"ifelse(input_data_column_value>4,'mature','imature')"
farge,,fish_flesh_colour,paste_values,
Opphav,,establishmentMeans,translate,FF=managed|VILL=native
Merknad,,occurrenceRemarks,paste_values,
otolitt,mof_occurrence,age_from_otolith,paste_values,
Alder,mof_occurrence,age,paste_values,
1.år,mof_occurrence,bc_length_mm_otolith_age_1,numeric_operation,*10
2.år,mof_occurrence,bc_length_mm_otolith_age_2,numeric_operation,*10
3.år,mof_occurrence,bc_length_mm_otolith_age_3,numeric_operation,*10
4.år,mof_occurrence,bc_length_mm_otolith_age_4,numeric_operation,*10
5.år,mof_occurrence,bc_length_mm_otolith_age_5,numeric_operation,*10
6.år,mof_occurrence,bc_length_mm_otolith_age_6,numeric_operation,*10
7.år,mof_occurrence,bc_length_mm_otolith_age_7,numeric_operation,*10
8.år,mof_occurrence,bc_length_mm_otolith_age_8,numeric_operation,*10
9.år,mof_occurrence,bc_length_mm_otolith_age_9,numeric_operation,*10
"10 å",mof_occurrence,bc_length_mm_otolith_age_10,numeric_operation,*10
11år,mof_occurrence,bc_length_mm_otolith_age_11,numeric_operation,*10
"12. år",mof_occurrence,bc_length_mm_otolith_age_12,numeric_operation,*10
"13. år",mof_occurrence,bc_length_mm_otolith_age_13,numeric_operation,*10
"14. år",mof_occurrence,bc_length_mm_otolith_age_14,numeric_operation,*10
